layers,neurons,Ndata,noise,global_rmse,global_rel_rmse
3,128,500,0.01,1.132772e-01,4.853990e-01
3,512,1000,0.00,1.815667e-03,7.780231e-03
3,512,1000,0.01,2.783411e-03,1.192707e-02
3,512,1000,0.05,1.212524e-02,5.195730e-02
3,512,100,0.00,3.333768e-03,1.428538e-02
3,512,100,0.01,7.120331e-03,3.051100e-02
3,512,100,0.05,4.126979e-02,1.768433e-01
3,512,500,0.00,1.664033e-03,7.130471e-03
3,512,500,0.01,4.446996e-03,1.905562e-02
3,512,500,0.05,1.531926e-02,6.564386e-02
3,64,1000,0.00,1.234251e-01,5.288831e-01
4,256,1000,0.00,1.342580e-01,5.753029e-01
4,256,500,0.01,1.354182e-01,5.802745e-01
